Scanned At,Library,File Name,Extension,Folder Path,Current Size (MB),Version Count,Versions Size (MB),Total Size (MB)
"2026-04-07 07:46:54","DPT-RM","Market Insight OTA Insight.pdf","pdf","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Contract","0.509","0","0.000","0.509"
"2026-04-07 07:46:54","DPT-RM","Travelbullz Agreement .pdf","pdf","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Contract","0.700","0","0.000","0.700"
"2026-04-07 07:46:54","DPT-RM","SOJERN Signed_The Agreement for Pullman Bangkok King Power RD12 Net.pdf","pdf","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Contract","0.133","0","0.000","0.133"
"2026-04-07 07:46:54","DPT-RM","TRAVELOKA Agreement.pdf","pdf","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Contract","1.053","0","0.000","1.053"
"2026-04-07 07:46:54","DPT-RM","ACCOR Distribution Roadshow.pdf","pdf","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Contract","0.030","0","0.000","0.030"
"2026-04-07 07:46:54","DPT-RM","TBO Dynamic  Agreement 16.12.22.pdf","pdf","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Contract","0.470","0","0.000","0.470"
"2026-04-07 07:46:54","DPT-RM","INTOUCH DATA BI.pdf","pdf","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Contract","0.623","0","0.000","0.623"
"2026-04-07 07:46:54","DPT-RM","OTA Insight_OD_Pullman Bangkok King Power_Countersigned.pdf","pdf","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Contract","0.292","0","0.000","0.292"
"2026-04-07 07:46:54","DPT-RM","FORNOVA.pdf","pdf","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Contract","0.926","0","0.000","0.926"
"2026-04-07 07:46:54","DPT-RM","FORNOVA Co-signed agreement.pdf","pdf","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Contract","0.921","0","0.000","0.921"
"2026-04-07 07:46:54","DPT-RM","H6323-RDashboard 2026.xlsb","xlsb","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Daily Report","3.513","1","3.513","7.026"
