Library,File Name,Extension,Folder Path,Current Size (MB),Version Count,Versions Size (MB),Total Size (MB),Last Datetime of Original Version,First Datetime of History Version,Age (Years),Priority,Recommended Action,Reason,Scanned At
DPT-SC,Event Summary_Bank of Thailand.pptx,pptx,/sites/H6323_SPOF/DPT-SC/Karn Karn/0. Group/Y2026/13. ACTUAL/01. 30_Bank of Thailand,6.752,23,145.824,152.576,2026-02-02 14:33:08,2026-01-19 09:08:00,0.3,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB | Versions Size > 100 MB,2026-05-07 09:55:32
DPT-SC,Event Summary_Organon 6 Feb 2026.pptx,pptx,/sites/H6323_SPOF/DPT-SC/Karn Karn/0. Group/Y2026/13. ACTUAL/02. 06_Organon,7.184,19,134.912,142.095,2026-02-10 16:21:38,2026-01-20 17:56:30,0.2,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB | Versions Size > 100 MB,2026-05-07 09:55:33
DPT-SC,Event Summary_Blue Hat XQ Limited .pptx,pptx,/sites/H6323_SPOF/DPT-SC/Karn Karn/0. Group/Y2026/13. ACTUAL/02. 14_Blue Hat,11.168,11,100.043,111.211,2026-02-18 13:45:49,2026-02-02 10:51:24,0.2,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB | Versions Size > 100 MB,2026-05-07 09:55:34
DPT-SC,Agenda GPP Low-carbon Cement National Dialouge.pdf,pdf,/sites/H6323_SPOF/DPT-SC/Karn Karn/0. Group/Y2026/13. ACTUAL/03. 17_TEI G1,143.363,0,0.0,143.363,2026-03-19 10:44:20,-,0.1,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB,2026-05-07 09:55:38
DPT-SC,Event Summary_Songkla 17 Jan 26.pptx,pptx,/sites/H6323_SPOF/DPT-SC/Karn Karn/0. Group/Y2026/13. ACTUAL/03. 22-27_Prince of Songkla University,27.084,8,216.542,243.626,2026-04-01 12:01:42,2026-03-13 15:20:23,0.1,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB | Versions Size > 100 MB,2026-05-07 09:55:39
DPT-SC,Event Summary_TPQI 23-25 March 2026.pptx,pptx,/sites/H6323_SPOF/DPT-SC/Karn Karn/0. Group/Y2026/13. ACTUAL/03. 23-26_TPQI,11.521,12,139.222,150.742,2026-04-02 15:49:44,2026-03-13 15:20:23,0.1,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB | Versions Size > 100 MB,2026-05-07 09:55:40
DPT-SC,Event Summary_Organon 26.03.26 .pptx,pptx,/sites/H6323_SPOF/DPT-SC/Karn Karn/0. Group/Y2026/13. ACTUAL/03. 26_Organon,16.132,9,123.636,139.768,2026-03-29 13:51:00,2026-02-20 14:27:04,0.1,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB | Versions Size > 100 MB,2026-05-07 09:55:40
DPT-SC,Event Summary_Jenosize.pptx,pptx,/sites/H6323_SPOF/DPT-SC/Karn Karn/0. Group/Y2026/13. ACTUAL/04. 02_Jenosize,17.397,19,332.973,350.37,2026-04-21 14:56:38,2026-03-18 20:26:37,0.0,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB | Versions Size > 100 MB,2026-05-07 09:55:41
DPT-SC,I AMEND BEO 1170962 I Summer Travel & Event Phuket_DAY 1 OF 2.rtf,rtf,/sites/H6323_SPOF/DPT-SC/May (Sangthip)/BEO/2023/4.April/25-26 I Summer Travel & Event Phuket,125.689,0,0.0,125.689,2023-11-21 09:35:47,-,2.5,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB,2026-05-07 09:56:12
DPT-SC,BEO 1199706 A. Menarini (Thailand) Limited.rtf,rtf,/sites/H6323_SPOF/DPT-SC/May (Sangthip)/BEO/2023/9.September/15 A.Menarini,229.888,0,0.0,229.888,2023-11-21 10:05:49,-,2.5,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB,2026-05-07 09:56:35
